id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,vaca_x,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9,vaca_y,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,inseminacion_lac_4,inseminacion_lac_5,inseminacion_lac_6,inseminacion_lac_7,inseminacion_lac_8,inseminacion_lac_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
1422,1,1,1,1,0,0,0,0,0,0,11170,11381,6914,0,0,0,0,0,303,297,310,217,0,0,0,0,0,1422,0,0,0,0,-1,-1,-1,-1,-1,1422,1,2,1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1441,1,1,1,1,1,1,0,0,0,9965,12373,10823,12171,10028,8942,0,0,0,432,351,282,365,293,265,0,0,0,1441,0,0,0,1,0,0,-1,-1,-1,1441,7,4,1,4,2,4,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1456,1,1,1,1,1,1,0,0,0,8176,10477,10993,11847,12111,4184,0,0,0,277,325,358,358,450,109,0,0,0,1456,0,0,1,0,2,0,-1,-1,-1,1456,1,2,5,2,3,1,-1,-1,-1,0,0,0,0,1,0,-1,-1,-1
1474,1,1,1,1,1,1,0,0,0,8659,10955,11373,11423,9352,8084,0,0,0,294,305,286,339,270,189,0,0,0,1474,0,0,0,0,0,0,-1,-1,-1,1474,2,2,1,2,1,2,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1
1484,1,1,1,1,0,0,0,0,0,0,14057,10368,3754,0,0,0,0,0,303,458,299,86,0,0,0,0,0,1484,0,0,0,0,-1,-1,-1,-1,-1,1484,1,8,1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1504,1,1,1,1,0,0,0,0,0,0,11107,11755,5184,0,0,0,0,0,564,344,316,120,0,0,0,0,0,1504,0,0,0,0,-1,-1,-1,-1,-1,1504,0,3,3,2,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1507,1,1,1,1,0,0,0,0,0,0,10308,9616,9457,0,0,0,0,0,562,292,274,259,0,0,0,0,0,1507,0,0,0,1,-1,-1,-1,-1,-1,1507,0,1,1,5,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1509,1,1,1,1,1,0,0,0,0,17228,13121,12724,10388,9770,0,0,0,0,581,337,315,281,249,0,0,0,0,1509,0,0,0,1,2,-1,-1,-1,-1,1509,10,4,2,1,7,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,-1
1527,1,1,1,1,1,0,0,0,0,15130,14741,15881,14585,13507,0,0,0,0,452,350,387,384,305,0,0,0,0,1527,0,0,0,0,2,-1,-1,-1,-1,1527,5,4,3,5,2,-1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,-1
1531,1,1,1,1,1,0,0,0,0,12816,15074,9789,12502,14810,0,0,0,0,442,490,265,315,418,0,0,0,0,1531,0,1,1,0,0,-1,-1,-1,-1,1531,7,8,1,2,4,-1,-1,-1,-1,1,1,0,0,1,-1,-1,-1,-1
1581,1,1,1,1,0,0,0,0,0,0,11081,10793,8001,0,0,0,0,0,303,369,314,161,0,0,0,0,0,1581,0,0,0,0,-1,-1,-1,-1,-1,1581,1,5,4,4,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1596,1,1,1,1,1,1,0,0,0,11078,11716,11720,12155,14701,1332,0,0,0,386,277,287,404,424,36,0,0,0,1596,2,0,0,0,0,0,-1,-1,-1,1596,5,1,1,4,5,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1642,1,1,1,1,1,1,0,0,0,11340,13257,14176,13087,12480,11884,0,0,0,316,335,346,284,278,277,0,0,0,1642,0,0,0,0,0,0,-1,-1,-1,1642,2,3,3,1,1,2,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1643,1,1,1,1,0,0,0,0,0,0,12473,10684,2605,0,0,0,0,0,303,455,315,59,0,0,0,0,0,1643,0,0,1,0,-1,-1,-1,-1,-1,1643,1,6,2,2,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1648,1,1,1,1,1,0,0,0,0,9734,12302,12213,10334,9571,0,0,0,0,435,411,411,288,284,0,0,0,0,1648,1,0,1,1,2,-1,-1,-1,-1,1648,6,6,6,2,6,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
1682,1,1,1,1,0,0,0,0,0,0,12041,14282,6864,0,0,0,0,0,303,342,380,127,0,0,0,0,0,1682,0,0,0,0,-1,-1,-1,-1,-1,1682,1,3,4,1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,-1,-1
1704,1,1,1,1,1,0,0,0,0,8668,10128,12248,14009,12289,0,0,0,0,269,290,347,514,364,0,0,0,0,1704,0,0,0,1,1,-1,-1,-1,-1,1704,1,1,3,8,3,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
