total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,total,index
10809,9010,0,0,0,0,0,0,0,19819,0
9209,11558,0,0,0,0,0,0,0,20767,0
8636,2932,0,0,0,0,0,0,0,11568,0
9706,5368,0,0,0,0,0,0,0,15074,0
9068,7467,0,0,0,0,0,0,0,16535,0
8007,7864,0,0,0,0,0,0,0,15871,0
7270,6964,0,0,0,0,0,0,0,14234,0
7400,6741,0,0,0,0,0,0,0,14141,0
9538,10339,0,0,0,0,0,0,0,19877,0
9939,14163,9385,10578,8982,0,0,0,0,53047,0
5797,4691,0,0,0,0,0,0,0,10488,0
9770,8307,0,0,0,0,0,0,0,18077,0
9271,4740,0,0,0,0,0,0,0,14011,0
7050,8159,10212,10581,10417,0,0,0,0,46419,0
10059,7134,0,0,0,0,0,0,0,17193,0
6934,6386,0,0,0,0,0,0,0,13320,0
7199,4186,0,0,0,0,0,0,0,11385,0
9094,7283,0,0,0,0,0,0,0,16377,0
7332,9296,10108,9948,9546,9085,0,0,0,55315,0
16201,0,0,0,0,0,0,0,0,16201,0
7575,6742,0,0,0,0,0,0,0,14317,0
9203,6947,0,0,0,0,0,0,0,16150,0
8192,9045,0,0,0,0,0,0,0,17237,0
7426,7194,0,0,0,0,0,0,0,14620,0
7080,9725,9310,16180,9743,0,0,0,0,52038,0
12669,739,0,0,0,0,0,0,0,13408,0
6849,6870,0,0,0,0,0,0,0,13719,0
6343,5521,0,0,0,0,0,0,0,11864,0
8938,9940,9819,9159,9823,7003,0,0,0,54682,0
7623,8999,0,0,0,0,0,0,0,16622,0
7241,4448,0,0,0,0,0,0,0,11689,0
13944,0,0,0,0,0,0,0,0,13944,0
8973,11039,0,0,0,0,0,0,0,20012,0
8037,0,0,0,0,0,0,0,0,8037,0
7150,7408,0,0,0,0,0,0,0,14558,0
7760,8564,0,0,0,0,0,0,0,16324,0
8960,0,0,0,0,0,0,0,0,8960,0
12567,725,0,0,0,0,0,0,0,13292,0
6359,4504,0,0,0,0,0,0,0,10863,0
8171,0,0,0,0,0,0,0,0,8171,0
8462,5373,10479,8972,9365,0,0,0,0,42651,0
7298,6705,0,0,0,0,0,0,0,14003,0
7997,10736,13718,16681,9466,0,0,0,0,58598,0
7312,8222,0,0,0,0,0,0,0,15534,0
12749,14240,10676,10983,5584,0,0,0,0,54232,0
7431,5725,0,0,0,0,0,0,0,13156,0
8278,5913,0,0,0,0,0,0,0,14191,0
7638,5024,0,0,0,0,0,0,0,12662,0
6474,3796,0,0,0,0,0,0,0,10270,0
11364,6630,0,0,0,0,0,0,0,17994,0
7921,2044,0,0,0,0,0,0,0,9965,0
10775,0,0,0,0,0,0,0,0,10775,0
11281,0,0,0,0,0,0,0,0,11281,0
7172,4887,0,0,0,0,0,0,0,12059,0
7312,12356,12313,11081,3740,0,0,0,0,46802,0
6954,1660,0,0,0,0,0,0,0,8614,0
11214,15923,12205,12589,8753,0,0,0,0,60684,0
10383,10201,10528,11702,11401,0,0,0,0,54215,0
7582,0,0,0,0,0,0,0,0,7582,0
9290,0,0,0,0,0,0,0,0,9290,0
9573,0,0,0,0,0,0,0,0,9573,0
6934,0,0,0,0,0,0,0,0,6934,0
6152,0,0,0,0,0,0,0,0,6152,0
8284,0,0,0,0,0,0,0,0,8284,0
7499,0,0,0,0,0,0,0,0,7499,0
18043,17101,15644,13150,6955,0,0,0,0,70893,0
8525,0,0,0,0,0,0,0,0,8525,0
9044,0,0,0,0,0,0,0,0,9044,0
4920,0,0,0,0,0,0,0,0,4920,0
7269,0,0,0,0,0,0,0,0,7269,0
8962,0,0,0,0,0,0,0,0,8962,0
5118,0,0,0,0,0,0,0,0,5118,0
6821,1549,0,0,0,0,0,0,0,8370,0
16473,15620,19425,14923,0,0,0,0,0,66441,0
7384,0,0,0,0,0,0,0,0,7384,0
8449,0,0,0,0,0,0,0,0,8449,0
7115,0,0,0,0,0,0,0,0,7115,0
8055,0,0,0,0,0,0,0,0,8055,0
6923,0,0,0,0,0,0,0,0,6923,0
8296,0,0,0,0,0,0,0,0,8296,0
8618,0,0,0,0,0,0,0,0,8618,0
8121,0,0,0,0,0,0,0,0,8121,0
11221,10028,15017,6982,3921,0,0,0,0,47169,0
2512,0,0,0,0,0,0,0,0,2512,0
6452,0,0,0,0,0,0,0,0,6452,0
8145,0,0,0,0,0,0,0,0,8145,0
6548,0,0,0,0,0,0,0,0,6548,0
4568,0,0,0,0,0,0,0,0,4568,0
5401,0,0,0,0,0,0,0,0,5401,0
5438,0,0,0,0,0,0,0,0,5438,0
6702,0,0,0,0,0,0,0,0,6702,0
5725,0,0,0,0,0,0,0,0,5725,0
8003,0,0,0,0,0,0,0,0,8003,0
10709,0,0,0,0,0,0,0,0,10709,0
9716,0,0,0,0,0,0,0,0,9716,0
10088,0,0,0,0,0,0,0,0,10088,0
5107,0,0,0,0,0,0,0,0,5107,0
2347,0,0,0,0,0,0,0,0,2347,0
9824,0,0,0,0,0,0,0,0,9824,0
7749,0,0,0,0,0,0,0,0,7749,0
6087,0,0,0,0,0,0,0,0,6087,0
3973,0,0,0,0,0,0,0,0,3973,0
6078,0,0,0,0,0,0,0,0,6078,0
5866,0,0,0,0,0,0,0,0,5866,0
6662,0,0,0,0,0,0,0,0,6662,0
7032,8487,10583,12215,10864,480,0,0,0,49661,0
1233,0,0,0,0,0,0,0,0,1233,0
6285,0,0,0,0,0,0,0,0,6285,0
4297,0,0,0,0,0,0,0,0,4297,0
2441,0,0,0,0,0,0,0,0,2441,0
5948,0,0,0,0,0,0,0,0,5948,0
6825,0,0,0,0,0,0,0,0,6825,0
6147,0,0,0,0,0,0,0,0,6147,0
4119,0,0,0,0,0,0,0,0,4119,0
4208,0,0,0,0,0,0,0,0,4208,0
4275,0,0,0,0,0,0,0,0,4275,0
21902,11557,14283,11969,0,0,0,0,0,59711,0
14881,17726,13860,10995,11366,0,0,0,0,68828,0
10076,13477,11773,9264,143,0,0,0,0,44733,0
10889,11416,12926,18011,7067,0,0,0,0,60309,0
10134,16536,20042,14917,0,0,0,0,0,61629,0
16654,11326,11445,11092,8496,0,0,0,0,59013,0
11181,12690,15952,10985,5580,0,0,0,0,56388,0
11486,11006,10666,9229,7219,0,0,0,0,49606,0
8129,11516,13273,11930,532,0,0,0,0,45380,0
13756,12351,11121,10176,2792,0,0,0,0,50196,0
11956,10453,16176,12364,0,0,0,0,0,50949,0
12547,8310,9010,8042,6526,0,0,0,0,44435,0
6899,9971,10501,9160,8393,0,0,0,0,44924,0
10430,11923,15138,8039,3774,0,0,0,0,49304,0
8184,11183,12228,10577,11188,0,0,0,0,53360,0
9532,10856,10213,14362,4190,0,0,0,0,49153,0
10094,15157,16618,10217,0,0,0,0,0,52086,0
9056,15515,23014,10222,0,0,0,0,0,57807,0
9867,14930,13788,16110,0,0,0,0,0,54695,0
12217,11653,15874,11143,2420,0,0,0,0,53307,0
15068,11203,17344,13429,0,0,0,0,0,57044,0
13737,12915,18344,7858,0,0,0,0,0,52854,0
9478,12495,18982,13927,0,0,0,0,0,54882,0
7805,12189,8909,10004,6396,0,0,0,0,45303,0
7870,13669,13366,12661,8860,0,0,0,0,56426,0
11227,12368,12559,10582,1265,0,0,0,0,48001,0
10632,9704,13341,12620,5660,0,0,0,0,51957,0
15935,11356,15510,11140,0,0,0,0,0,53941,0
16291,12768,12914,6778,0,0,0,0,0,48751,0
8157,11990,14106,10185,7281,0,0,0,0,51719,0
9232,11652,11017,10564,9332,0,0,0,0,51797,0
8390,14472,16062,5289,0,0,0,0,0,44213,0
9256,10463,9856,10399,10051,0,0,0,0,50025,0
10166,10779,11796,10167,8026,0,0,0,0,50934,0
12807,13869,13515,11978,0,0,0,0,0,52169,0
8140,12086,8596,10179,4280,0,0,0,0,43281,0
9184,14696,11376,10525,8784,0,0,0,0,54565,0
8869,13732,12161,12876,4371,0,0,0,0,52009,0
9546,11639,11760,10157,9814,0,0,0,0,52916,0
12164,12854,16148,14111,0,0,0,0,0,55277,0
9385,9865,10841,11063,8241,0,0,0,0,49395,0
10701,10967,12280,10544,8088,0,0,0,0,52580,0
12645,10810,12864,11302,0,0,0,0,0,47621,0
9849,10538,13190,10123,10254,0,0,0,0,53954,0
14092,10983,12538,13536,2137,0,0,0,0,53286,0
13913,13781,11994,11819,4613,0,0,0,0,56120,0
9076,9761,10361,11976,7991,0,0,0,0,49165,0
14313,13543,18295,12625,0,0,0,0,0,58776,0
8505,13855,17675,11080,0,0,0,0,0,51115,0
9521,14732,14225,10016,0,0,0,0,0,48494,0
15087,13347,14443,17142,0,0,0,0,0,60019,0
9798,10838,13818,9441,9475,0,0,0,0,53370,0
7537,10578,9469,9193,5225,0,0,0,0,42002,0
9423,10463,11001,8746,7244,0,0,0,0,46877,0
8834,11555,11640,11347,7892,0,0,0,0,51268,0
7490,9684,12073,9682,6646,0,0,0,0,45575,0
9802,14969,17127,15575,0,0,0,0,0,57473,0
8951,12959,10185,10132,7577,0,0,0,0,49804,0
8362,13790,13776,10999,0,0,0,0,0,46927,0
8943,14034,10524,9890,5359,0,0,0,0,48750,0
8567,11205,13096,10683,0,0,0,0,0,43551,0
8490,12612,11911,11359,2345,0,0,0,0,46717,0
9478,13376,14230,4443,0,0,0,0,0,41527,0
9716,11655,10740,10025,10421,0,0,0,0,52557,0
16318,14280,16249,8497,0,0,0,0,0,55344,0
10352,11823,12268,10673,7726,0,0,0,0,52842,0
11683,11875,12757,9951,11203,0,0,0,0,57469,0
11933,13087,14801,16158,0,0,0,0,0,55979,0
9051,10646,11150,10282,7341,0,0,0,0,48470,0
9281,9574,14696,9802,4031,0,0,0,0,47384,0
12297,11886,11227,11847,7319,0,0,0,0,54576,0
14280,12672,18443,12343,0,0,0,0,0,57738,0
12074,16218,15090,0,0,0,0,0,0,43382,0
9490,12097,10230,9161,6336,0,0,0,0,47314,0
7907,10431,10842,11790,0,0,0,0,0,40970,0
10286,10389,13110,12428,9364,0,0,0,0,55577,0
9545,11165,12613,9875,1986,0,0,0,0,45184,0
11545,12559,15053,11572,0,0,0,0,0,50729,0
10123,11930,18685,12353,0,0,0,0,0,53091,0
9697,11053,9456,8900,10166,0,0,0,0,49272,0
15301,9922,5281,0,0,0,0,0,0,30504,0
7940,9629,10737,8482,7223,0,0,0,0,44011,0
14009,9524,8663,7484,0,0,0,0,0,39680,0
7256,13367,9079,0,0,0,0,0,0,29702,0
13602,9020,10921,10623,4431,0,0,0,0,48597,0
10452,14719,12179,10895,8541,0,0,0,0,56786,0
8315,12125,10775,10122,5455,0,0,0,0,46792,0
14153,13811,13391,11683,0,0,0,0,0,53038,0
8281,10120,8877,8308,6884,0,0,0,0,42470,0
9832,9074,11292,10780,627,0,0,0,0,41605,0
9561,10767,8242,0,0,0,0,0,0,28570,0
9848,11933,10575,12035,0,0,0,0,0,44391,0
10690,10706,10274,10415,8004,0,0,0,0,50089,0
19622,7968,0,0,0,0,0,0,0,27590,0
9526,10748,9762,11567,5373,0,0,0,0,46976,0
10520,13421,7075,0,0,0,0,0,0,31016,0
9875,9525,11608,10931,6436,0,0,0,0,48375,0
9388,10511,10883,8168,6034,0,0,0,0,44984,0
11224,9106,11300,10363,0,0,0,0,0,41993,0
10060,11613,14252,9177,0,0,0,0,0,45102,0
8189,9249,10666,10697,10542,0,0,0,0,49343,0
13568,11737,13070,10973,0,0,0,0,0,49348,0
10417,11935,14134,6449,0,0,0,0,0,42935,0
7980,9937,10613,13203,0,0,0,0,0,41733,0
13022,12219,12243,7899,0,0,0,0,0,45383,0
7021,8628,9758,8054,5822,0,0,0,0,39283,0
10282,11801,12071,11229,0,0,0,0,0,45383,0
15484,16644,8621,3992,0,0,0,0,0,44741,0
9405,10326,10255,4734,0,0,0,0,0,34720,0
13653,10709,14454,1174,0,0,0,0,0,39990,0
9499,11604,15159,13775,0,0,0,0,0,50037,0
13734,11718,13109,8234,0,0,0,0,0,46795,0
12079,16925,11269,12075,0,0,0,0,0,52348,0
8023,11501,9893,9248,3540,0,0,0,0,42205,0
10178,9394,8438,10128,2150,0,0,0,0,40288,0
8810,9424,14023,13575,0,0,0,0,0,45832,0
12595,11813,12733,11459,0,0,0,0,0,48600,0
8289,8665,9242,11474,7854,0,0,0,0,45524,0
13667,10578,9689,9888,773,0,0,0,0,44595,0
11217,12706,11991,12266,0,0,0,0,0,48180,0
10189,10686,9198,10102,6416,0,0,0,0,46591,0
6921,6883,9006,8748,3865,0,0,0,0,35423,0
13059,11920,10513,10013,0,0,0,0,0,45505,0
10136,12580,11519,5971,0,0,0,0,0,40206,0
11427,11946,11770,14611,4689,0,0,0,0,54443,0
9253,11634,10655,11616,0,0,0,0,0,43158,0
13608,14818,14775,6180,0,0,0,0,0,49381,0
7756,8087,8499,6227,4219,0,0,0,0,34788,0
10859,9292,10293,9089,0,0,0,0,0,39533,0
16269,11473,10991,12318,0,0,0,0,0,51051,0
10901,13485,8873,10584,0,0,0,0,0,43843,0
13358,12410,14479,7980,0,0,0,0,0,48227,0
11361,9581,12504,12222,4604,0,0,0,0,50272,0
18422,11908,10584,9292,0,0,0,0,0,50206,0
8969,14033,12605,12308,0,0,0,0,0,47915,0
10117,12401,12095,6730,0,0,0,0,0,41343,0
11261,14048,12084,8632,0,0,0,0,0,46025,0
8741,8830,12363,9158,0,0,0,0,0,39092,0
13358,15110,12848,9875,0,0,0,0,0,51191,0
17271,12344,11897,9722,0,0,0,0,0,51234,0
10165,18081,15313,3001,0,0,0,0,0,46560,0
13443,10149,10058,7086,0,0,0,0,0,40736,0
11389,12337,10308,7195,0,0,0,0,0,41229,0
15439,11491,11605,6735,0,0,0,0,0,45270,0
11287,17740,13056,11089,0,0,0,0,0,53172,0
13813,15610,12615,12818,0,0,0,0,0,54856,0
6850,8567,8104,8470,2629,0,0,0,0,34620,0
11984,8047,10197,10629,5562,0,0,0,0,46419,0
8833,12318,11117,8838,4949,0,0,0,0,46055,0
7145,9754,10997,10542,0,0,0,0,0,38438,0
15359,16349,10600,2167,0,0,0,0,0,44475,0
14161,18784,12094,0,0,0,0,0,0,45039,0
13860,14875,11366,4896,0,0,0,0,0,44997,0
12858,14672,11455,7685,0,0,0,0,0,46670,0
