Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
10096,6250,14,Pregnacy,1/28/2021,27.1,27.2,0,1,433,117,5,117,117,CARLOS-JEHU,INFOCUS GOLD,1,12/10/2021,34.1,0,11435
10097,7210,20,Labor,2/13/2022,53.4,47.2,13,2,52,0,0,0,0,0,0,0,0,0,8938,2104
10098,6977,18,Insemination,1/1/2022,51.6,47.5,9,2,95,42,1,42,0,CARLOS-JEHU,KEYNOTE,0,2/23/2022,0,8000,4247
10099,1693,20,Labor,1/30/2022,53.1,53.8,-1,2,66,0,0,0,0,0,0,0,0,0,9694,3027
10101,7123,14,Pregnacy,2/4/2021,31.4,29.8,5,1,426,133,8,133,133,CARLOS-MAURICIO,INFOCUS GOLD,1,11/24/2021,38.1,0,12554
10104,4924,14,No_Inseminate,1/26/2021,20.5,23.6,-13,1,435,185,2,185,0,CARLOS-JEHU,POPSTAR,2,10/3/2021,39.4,0,14885
10105,8088,19,Insemination,1/24/2022,45,51.5,-13,2,72,6,1,6,0,CARLOS-JEHU,MUSTSEE,0,3/31/2022,0,9590,3438
10108,7020,20,Heat,2/17/2022,45.6,44.3,3,2,48,9,0,0,0,0,0,0,0,0,7186,1803
10109,7051,30,Abortion,1/18/2021,21.8,20.3,7,1,443,137,6,137,0,MVZ ROGELIO-URIEL,MUSTSEE,2,11/20/2021,33.1,0,12112
10110,2598,30,No_Inseminate,1/11/2021,26.3,24,9,1,450,310,3,310,0,MIGUEL-MAURICIO,POPSTAR,1,5/31/2021,33.9,0,12768
10112,7202,12,Insemination,7/17/2021,35.7,36.1,-1,1,263,15,9,15,0,MIGUEL-JAIME,INFOCUS GOLD,0,3/22/2022,37.1,0,8838
10114,6988,17,Pregnacy,12/7/2021,32.1,35.5,-10,2,120,61,1,61,61,DAVID-MANUEL,EXPO,0,2/4/2022,0,5694,4498
10115,713,18,Insemination,12/14/2021,39.2,40.3,-3,2,113,12,2,12,0,CARLOS-JEHU,MUSTSEE,0,3/25/2022,0,9146,4089
