,id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
79,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1
80,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
81,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
82,2107,1,1,1,0,0,0,0,0,0,10669,13550,2582,0,0,0,0,0,0,467,344,86,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1
83,2110,1,1,1,0,0,0,0,0,0,12458,8719,4224,0,0,0,0,0,0,486,319,96,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1
84,2143,1,1,1,1,1,0,0,0,0,13165,15217,11548,15973,10376,0,0,0,0,400,395,275,448,355,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
85,2146,1,1,1,1,1,0,0,0,0,12322,17581,16950,12154,10893,0,0,0,0,376,486,421,278,305,0,0,0,0,0,1,1,0,1,-1,-1,-1,-1
86,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1
87,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1
88,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1
89,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
90,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
91,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
92,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1
93,2252,1,1,1,0,0,0,0,0,0,14971,11819,5441,0,0,0,0,0,0,448,283,102,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1
94,2272,1,1,1,0,0,0,0,0,0,6844,10851,6055,0,0,0,0,0,0,283,413,136,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
95,2298,1,1,1,1,0,0,0,0,0,14616,13512,13663,12859,0,0,0,0,0,532,326,480,331,0,0,0,0,0,2,0,0,1,-1,-1,-1,-1,-1
96,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
97,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
98,2320,1,1,1,1,1,1,0,0,0,7222,11365,10391,10305,10701,5397,0,0,0,267,468,277,306,315,141,0,0,0,0,1,0,0,0,0,-1,-1,-1
99,2325,1,1,0,0,0,0,0,0,0,20633,7745,0,0,0,0,0,0,0,699,153,0,0,0,0,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1
100,2326,1,1,1,0,0,0,0,0,0,7273,8107,7262,0,0,0,0,0,0,294,280,211,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
101,2328,1,1,0,0,0,0,0,0,0,11603,9649,0,0,0,0,0,0,0,452,273,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
102,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
103,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1
104,2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,-1
105,2342,1,1,0,0,0,0,0,0,0,14706,8528,0,0,0,0,0,0,0,523,210,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
106,2348,1,1,1,1,1,0,0,0,0,14770,15712,11102,7326,7622,0,0,0,0,561,489,302,324,235,0,0,0,0,1,2,0,0,0,-1,-1,-1,-1
107,2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1
108,2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
109,2367,1,1,0,0,0,0,0,0,0,13518,12254,0,0,0,0,0,0,0,497,243,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
110,2368,1,1,1,1,1,0,0,0,0,9497,10273,8804,17829,12810,0,0,0,0,304,286,288,609,347,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1
111,2370,1,1,1,0,0,0,0,0,0,7076,11469,3125,0,0,0,0,0,0,272,339,74,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
112,2375,1,1,1,0,0,0,0,0,0,9052,7684,4356,0,0,0,0,0,0,325,266,208,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
113,2380,1,1,1,1,1,1,0,0,0,11070,13319,13634,15684,14318,7706,0,0,0,280,280,289,400,299,180,0,0,0,0,0,0,0,0,0,-1,-1,-1
114,2391,1,1,1,0,0,0,0,0,0,9334,9584,6035,0,0,0,0,0,0,308,267,131,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
115,2415,1,1,0,0,0,0,0,0,0,14709,10321,0,0,0,0,0,0,0,553,214,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
116,2416,1,1,1,0,0,0,0,0,0,8302,9684,1763,0,0,0,0,0,0,272,270,37,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
117,2420,1,1,0,0,0,0,0,0,0,13194,9925,0,0,0,0,0,0,0,492,254,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
118,2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
119,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
120,2446,1,1,0,0,0,0,0,0,0,9718,6458,0,0,0,0,0,0,0,440,213,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1
121,2448,1,1,1,1,1,0,0,0,0,11074,11423,11243,11433,13488,0,0,0,0,397,347,288,343,447,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
122,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
123,2453,1,1,1,1,1,1,0,0,0,7516,7592,10518,9053,9381,6946,0,0,0,286,285,351,329,302,171,0,0,0,0,0,0,0,0,0,-1,-1,-1
124,2455,1,1,0,0,0,0,0,0,0,9801,11225,0,0,0,0,0,0,0,367,313,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
125,2459,1,1,1,1,1,0,0,0,0,11011,12344,16032,9461,9793,0,0,0,0,320,340,479,284,308,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
126,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
127,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
128,2474,1,1,0,0,0,0,0,0,0,10785,7585,0,0,0,0,0,0,0,353,214,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
129,2491,1,1,0,0,0,0,0,0,0,13826,6966,0,0,0,0,0,0,0,504,141,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
