"vaca","estado","estado_ginecol","fecha_de_naci","lact_n","del","inseminacion_lac_1","inseminacion_lac_2","inseminacion_lac_3","inseminacion_lac_4","inseminacion_lac_5","inseminacion_lac_6","inseminacion_lac_7","inseminacion_lac_8","inseminacion_lac_9"
6810,"ordeno","prenez","9/1/2017",3,101,3,1,1,-1,-1,-1,-1,-1,-1
6814,"ordeno","celo","9/2/2017",3,134,2,2,0,-1,-1,-1,-1,-1,-1
6816,"ordeno","prenez","9/2/2017",3,263,3,1,2,-1,-1,-1,-1,-1,-1
6821,"ordeno","prenez","3/26/2015",5,184,4,3,1,1,1,-1,-1,-1,-1
6822,"ordeno","prenez","5/19/2015",5,329,1,4,1,7,6,-1,-1,-1,-1
6828,"ordeno","inseminacion","9/3/2017",3,158,1,3,3,-1,-1,-1,-1,-1,-1
6831,"ordeno","prenez","9/3/2017",3,279,1,1,1,-1,-1,-1,-1,-1,-1
6836,"ordeno","prenez","9/4/2017",3,287,2,1,2,-1,-1,-1,-1,-1,-1
6847,"ordeno","prenez","9/5/2017",3,348,1,1,8,-1,-1,-1,-1,-1,-1
6851,"ordeno","pd-inseminacion","9/5/2017",2,265,14,9,-1,-1,-1,-1,-1,-1,-1
6853,"ordeno","prenez","9/5/2017",2,328,5,4,-1,-1,-1,-1,-1,-1,-1
6855,"ordeno","celo","9/6/2017",2,290,12,3,-1,-1,-1,-1,-1,-1,-1
6856,"ordeno","inseminacion","9/6/2017",2,323,4,8,-1,-1,-1,-1,-1,-1,-1
6860,"ordeno","prenez","7/3/2015",5,248,1,3,2,1,2,-1,-1,-1,-1
6861,"ordeno","prenez","9/6/2017",2,423,7,8,-1,-1,-1,-1,-1,-1,-1
6867,"ordeno","prenez","9/7/2017",3,265,2,1,5,-1,-1,-1,-1,-1,-1
6871,"ordeno","prenez","8/10/2015",5,126,3,2,4,2,1,-1,-1,-1,-1
6877,"seca","prenez","9/8/2017",2,431,6,3,-1,-1,-1,-1,-1,-1,-1
6881,"ordeno","prenez","9/9/2017",3,249,3,1,3,-1,-1,-1,-1,-1,-1
6885,"ordeno","prenez","8/17/2015",5,237,2,6,3,3,3,-1,-1,-1,-1
6887,"ordeno","prenez","9/9/2017",3,302,2,2,7,-1,-1,-1,-1,-1,-1
6910,"ordeno","prenez","9/26/2015",5,167,1,8,4,2,1,-1,-1,-1,-1
6911,"ordeno","prenez","9/12/2017",3,157,3,1,2,-1,-1,-1,-1,-1,-1
6913,"ordeno","inseminacion","7/11/2015",5,142,2,2,1,5,4,-1,-1,-1,-1
6916,"ordeno","prenez","9/10/2015",3,443,9,8,6,-1,-1,-1,-1,-1,-1
6917,"ordeno","prenez","9/13/2017",3,202,3,2,1,-1,-1,-1,-1,-1,-1
6925,"ordeno","inseminacion","8/25/2015",5,169,2,3,1,2,4,-1,-1,-1,-1
6930,"ordeno","prenez","9/15/2017",3,185,3,4,3,-1,-1,-1,-1,-1,-1
6935,"ordeno","prenez","9/16/2017",3,140,2,1,2,-1,-1,-1,-1,-1,-1
6940,"ordeno","inseminacion","8/27/2015",5,81,1,1,6,3,2,-1,-1,-1,-1
6941,"ordeno","prenez","5/28/2014",6,159,6,1,3,4,3,1,-1,-1,-1
6944,"ordeno","inseminacion","9/17/2015",5,136,2,3,3,1,3,-1,-1,-1,-1
6953,"seca","prenez","8/19/2015",5,291,1,2,1,2,1,-1,-1,-1,-1
6956,"ordeno","prenez","11/18/2014",4,333,3,8,6,4,-1,-1,-1,-1,-1
6958,"ordeno","prenez","9/20/2017",3,645,1,1,2,-1,-1,-1,-1,-1,-1
6962,"ordeno","prenez","9/10/2015",5,264,1,2,2,4,5,-1,-1,-1,-1
6966,"ordeno","prenez","9/23/2017",3,178,2,1,2,-1,-1,-1,-1,-1,-1
6974,"ordeno","prenez","10/7/2014",5,647,1,4,2,1,2,-1,-1,-1,-1
6976,"ordeno","prenez","8/16/2015",5,229,3,1,1,1,1,-1,-1,-1,-1
6977,"ordeno","aborto","9/3/2015",4,361,1,6,6,7,-1,-1,-1,-1,-1
6982,"ordeno","prenez","9/25/2017",3,230,1,3,1,-1,-1,-1,-1,-1,-1
6987,"ordeno","prenez","10/8/2015",5,183,2,3,3,4,1,-1,-1,-1,-1
6989,"ordeno","prenez","8/10/2015",5,346,1,1,1,5,4,-1,-1,-1,-1
6991,"ordeno","inseminacion","10/3/2015",5,158,1,6,1,3,5,-1,-1,-1,-1
6996,"ordeno","prenez","10/10/2015",5,234,3,2,5,1,2,-1,-1,-1,-1
6997,"ordeno","inseminacion","9/27/2017",3,245,2,2,3,-1,-1,-1,-1,-1,-1
6998,"ordeno","prenez","10/17/2015",5,251,2,2,2,1,2,-1,-1,-1,-1
7001,"ordeno","prenez","10/12/2015",5,194,1,2,3,3,2,-1,-1,-1,-1
7003,"ordeno","parto","9/26/2015",5,31,1,5,5,6,0,-1,-1,-1,-1
7008,"ordeno","prenez","9/28/2017",3,291,1,1,6,-1,-1,-1,-1,-1,-1
7010,"seca","prenez","9/28/2017",2,367,8,3,-1,-1,-1,-1,-1,-1,-1
7014,"ordeno","celo","9/29/2017",3,140,2,1,1,-1,-1,-1,-1,-1,-1
7015,"ordeno","prenez","8/28/2015",4,385,1,1,7,3,-1,-1,-1,-1,-1
7017,"ordeno","pd-inseminacion","10/10/2015",4,94,5,2,1,1,-1,-1,-1,-1,-1
7019,"ordeno","prenez","9/29/2017",2,462,3,8,-1,-1,-1,-1,-1,-1,-1
7021,"seca","prenez","9/29/2017",3,276,1,1,1,-1,-1,-1,-1,-1,-1
7022,"ordeno","prenez","10/22/2015",5,310,1,1,2,4,2,-1,-1,-1,-1
7023,"ordeno","parto","9/30/2017",3,80,5,1,0,-1,-1,-1,-1,-1,-1
7024,"ordeno","inseminacion","10/19/2015",5,134,3,2,1,3,3,-1,-1,-1,-1
7026,"ordeno","prenez","10/17/2015",5,158,4,1,4,2,1,-1,-1,-1,-1
7031,"ordeno","prenez","10/1/2017",3,235,2,1,1,-1,-1,-1,-1,-1,-1
