vaca,estado,estado_ginecol,patio,fecha_de_naci,lact_n,del,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9
629,ordeno,prenez,13,11/19/2013,6,479,0,2,0,0,0,2,-1,-1,-1
660,ordeno,parto,21,11/24/2013,7,16,0,0,0,0,0,0,0,-1,-1
700,ordeno,prenez,24,12/5/2013,7,248,0,0,0,0,1,0,0,-1,-1
759,ordeno,inseminacion,22,12/18/2013,6,96,0,0,2,1,2,0,-1,-1,-1
857,ordeno,prenez,13,1/5/2014,5,495,0,0,0,0,0,-1,-1,-1,-1
873,ordeno,inseminacion,26,1/9/2014,6,268,0,1,0,0,1,0,-1,-1,-1
901,ordeno,prenez,23,1/17/2014,7,219,0,0,1,0,0,0,0,-1,-1
975,ordeno,inseminacion,23,2/12/2014,6,207,0,0,0,0,2,1,-1,-1,-1
991,ordeno,prenez,13,2/17/2014,6,344,0,0,0,0,0,0,-1,-1,-1
993,ordeno,prenez,24,2/19/2014,5,239,0,0,2,1,0,-1,-1,-1,-1
1036,ordeno,inseminacion,27,3/14/2014,4,317,0,0,0,1,-1,-1,-1,-1,-1
1122,ordeno,parto,20,5/10/2014,6,32,6,0,0,0,0,0,-1,-1,-1
1151,ordeno,inseminacion,17,5/22/2014,6,130,0,0,1,1,2,0,-1,-1,-1
1233,ordeno,parto,21,6/30/2014,6,5,0,0,0,0,1,0,-1,-1,-1
1234,ordeno,inseminacion,18,11/6/2015,5,171,0,0,0,1,0,-1,-1,-1,-1
1244,ordeno,prenez,14,7/3/2014,6,189,0,0,0,1,3,0,-1,-1,-1
1249,ordeno,prenez,18,11/10/2015,5,127,0,0,0,0,0,-1,-1,-1,-1
1255,ordeno,inseminacion,17,11/13/2015,5,142,0,0,1,1,0,-1,-1,-1,-1
1262,ordeno,celo,26,11/15/2015,5,282,0,0,0,0,0,-1,-1,-1,-1
1307,seca,prenez,85,7/15/2014,5,387,0,0,0,0,0,-1,-1,-1,-1
1354,ordeno,prenez,17,8/3/2014,6,147,0,0,0,3,1,0,-1,-1,-1
1362,ordeno,prenez,13,12/20/2015,5,624,0,0,0,0,0,-1,-1,-1,-1
1422,ordeno,prenez,23,1/14/2016,4,219,0,0,0,0,-1,-1,-1,-1,-1
1437,ordeno,prenez,17,1/19/2016,5,137,0,0,0,1,0,-1,-1,-1,-1
1441,ordeno,prenez,29,8/20/2014,6,267,0,0,0,1,0,0,-1,-1,-1
1455,ordeno,prenez,18,1/25/2016,5,107,0,0,0,0,0,-1,-1,-1,-1
1456,ordeno,celo,18,8/23/2014,6,111,0,0,1,0,2,0,-1,-1,-1
1474,ordeno,celo,14,8/27/2014,6,191,0,0,0,0,0,0,-1,-1,-1
1484,ordeno,inseminacion,19,2/11/2016,4,88,0,0,0,0,-1,-1,-1,-1,-1
1504,ordeno,inseminacion,18,2/25/2016,4,122,0,0,0,0,-1,-1,-1,-1,-1
1507,ordeno,prenez,24,2/27/2016,4,261,0,0,0,1,-1,-1,-1,-1,-1
1509,ordeno,inseminacion,24,9/2/2014,5,251,0,0,0,1,2,-1,-1,-1,-1
1527,ordeno,prenez,27,9/6/2014,5,307,0,0,0,0,2,-1,-1,-1,-1
1531,seca,prenez,22,9/7/2014,5,419,0,1,1,0,0,-1,-1,-1,-1
1537,ordeno,inseminacion,19,3/11/2016,4,100,0,0,1,0,-1,-1,-1,-1,-1
1581,ordeno,inseminacion,15,5/5/2016,4,163,0,0,0,0,-1,-1,-1,-1,-1
1596,ordeno,parto,20,9/19/2014,6,38,2,0,0,0,0,0,-1,-1,-1
1619,ordeno,prenez,18,6/26/2016,4,127,0,0,0,1,-1,-1,-1,-1,-1
1642,ordeno,prenez,13,9/24/2014,6,279,0,0,0,0,0,0,-1,-1,-1
1643,ordeno,inseminacion,19,7/27/2016,4,61,0,0,1,0,-1,-1,-1,-1,-1
1648,ordeno,celo,26,9/25/2014,5,286,1,0,1,1,2,-1,-1,-1,-1
1667,ordeno,inseminacion,18,8/10/2016,4,109,0,0,0,0,-1,-1,-1,-1,-1
1682,ordeno,prenez,17,9/4/2016,4,129,0,0,0,0,-1,-1,-1,-1,-1
1704,seca,prenez,84,10/4/2014,5,365,0,0,0,1,1,-1,-1,-1,-1
1727,ordeno,inseminacion,23,10/8/2014,6,211,0,0,1,0,0,0,-1,-1,-1
1791,ordeno,prenez,17,10/18/2014,6,132,1,0,0,0,0,0,-1,-1,-1
1853,ordeno,prenez,17,10/26/2014,6,139,0,0,0,0,0,0,-1,-1,-1
1892,ordeno,inseminacion,29,11/4/2014,6,219,1,0,0,0,1,1,-1,-1,-1
1915,ordeno,inseminacion,19,11/7/2014,6,149,0,0,0,1,1,0,-1,-1,-1
1916,ordeno,prenez,14,11/7/2014,5,189,0,0,0,0,0,-1,-1,-1,-1
1937,ordeno,inseminacion,15,11/10/2014,5,172,0,0,0,1,0,-1,-1,-1,-1
1968,ordeno,prenez,13,11/14/2014,4,297,0,0,1,0,-1,-1,-1,-1,-1
1975,ordeno,inseminacion,17,3/13/2017,4,144,0,0,0,0,-1,-1,-1,-1,-1
2015,ordeno,inseminacion,19,4/12/2017,4,65,0,2,0,0,-1,-1,-1,-1,-1
2022,ordeno,inseminacion,19,4/28/2017,4,101,0,0,0,0,-1,-1,-1,-1,-1
2028,ordeno,parto,20,5/2/2017,4,29,0,0,0,0,-1,-1,-1,-1,-1
2041,ordeno,celo,20,5/20/2017,4,50,0,0,0,0,-1,-1,-1,-1,-1
2045,ordeno,parto,20,11/25/2014,6,33,0,0,0,0,0,0,-1,-1,-1
2055,ordeno,prenez,13,6/11/2017,3,249,1,1,1,-1,-1,-1,-1,-1,-1
2063,ordeno,inseminacion,19,6/24/2017,3,61,0,0,0,-1,-1,-1,-1,-1,-1
2092,ordeno,prenez,13,8/5/2017,3,307,0,0,0,-1,-1,-1,-1,-1,-1
2104,ordeno,prenez,15,12/4/2014,6,180,0,2,2,1,1,0,-1,-1,-1
2107,ordeno,inseminacion,19,8/15/2017,3,88,0,0,0,-1,-1,-1,-1,-1,-1
2110,ordeno,inseminacion,19,8/16/2017,3,98,0,3,0,-1,-1,-1,-1,-1,-1
2143,ordeno,prenez,13,12/11/2014,5,357,0,3,3,0,4,-1,-1,-1,-1
2146,ordeno,prenez,3,12/11/2014,5,307,0,0,0,1,9,-1,-1,-1,-1
2156,ordeno,inseminacion,3,9/17/2017,3,124,0,2,1,-1,-1,-1,-1,-1,-1
2172,ordeno,prenez,18,9/30/2017,3,112,0,0,0,-1,-1,-1,-1,-1,-1
2178,ordeno,inseminacion,15,10/9/2017,3,167,0,0,0,-1,-1,-1,-1,-1,-1
2210,ordeno,prenez,14,12/23/2014,6,198,0,0,0,1,0,0,-1,-1,-1
2231,ordeno,prenez,13,11/6/2017,3,279,0,0,0,-1,-1,-1,-1,-1,-1
2236,ordeno,para_no_inseminar,24,11/8/2017,3,259,1,0,0,-1,-1,-1,-1,-1,-1
2248,ordeno,prenez,29,11/12/2017,2,396,0,0,-1,-1,-1,-1,-1,-1,-1
2252,ordeno,prenez,19,11/17/2017,3,104,0,0,0,-1,-1,-1,-1,-1,-1
2272,ordeno,prenez,17,11/27/2017,3,138,0,0,0,-1,-1,-1,-1,-1,-1
2298,ordeno,inseminacion,28,1/9/2015,4,333,1,0,0,0,-1,-1,-1,-1,-1
2300,ordeno,prenez,28,12/10/2017,3,246,0,0,0,-1,-1,-1,-1,-1,-1
2311,ordeno,inseminacion,19,1/11/2015,6,66,0,1,1,1,0,1,-1,-1,-1
2320,ordeno,prenez,17,1/13/2015,6,143,1,0,0,0,0,1,-1,-1,-1
2325,ordeno,prenez,15,12/30/2017,2,155,0,0,-1,-1,-1,-1,-1,-1,-1
2326,ordeno,prenez,23,12/30/2017,3,213,0,0,0,-1,-1,-1,-1,-1,-1
2328,seca,prenez,84,1/1/2018,2,274,0,0,-1,-1,-1,-1,-1,-1,-1
2330,ordeno,prenez,19,1/7/2018,3,102,0,1,0,-1,-1,-1,-1,-1,-1
2333,ordeno,celo,19,1/11/2018,3,62,0,0,0,-1,-1,-1,-1,-1,-1
2335,ordeno,parto,21,1/16/2015,6,2,0,1,0,0,0,0,-1,-1,-1
2342,ordeno,pd-inseminacion,23,1/18/2018,2,212,0,0,-1,-1,-1,-1,-1,-1,-1
2348,ordeno,prenez,24,1/17/2015,5,237,0,2,0,0,0,-1,-1,-1,-1
2352,ordeno,prenez,13,1/28/2018,3,257,0,0,0,-1,-1,-1,-1,-1,-1
2353,ordeno,prenez,28,1/30/2018,2,395,0,0,-1,-1,-1,-1,-1,-1,-1
2367,ordeno,prenez,24,2/17/2018,2,245,1,0,-1,-1,-1,-1,-1,-1,-1
2368,ordeno,prenez,27,1/20/2015,5,349,0,0,0,0,2,-1,-1,-1,-1
2370,ordeno,celo,19,2/21/2018,3,76,1,0,0,-1,-1,-1,-1,-1,-1
2375,ordeno,prenez,29,2/24/2018,3,210,1,0,0,-1,-1,-1,-1,-1,-1
2380,ordeno,inseminacion,15,1/21/2015,6,182,0,0,0,0,0,0,-1,-1,-1
2391,ordeno,prenez,17,3/15/2018,3,133,1,0,0,-1,-1,-1,-1,-1,-1
2398,ordeno,para_no_inseminar,29,3/21/2018,2,378,0,0,-1,-1,-1,-1,-1,-1,-1
2415,ordeno,prenez,23,4/15/2018,2,216,0,0,-1,-1,-1,-1,-1,-1,-1
2416,ordeno,parto,20,4/15/2018,3,39,0,0,0,-1,-1,-1,-1,-1,-1
2420,ordeno,prenez,24,4/23/2018,2,256,0,0,-1,-1,-1,-1,-1,-1,-1
2426,ordeno,parto,21,5/13/2018,3,14,0,0,0,-1,-1,-1,-1,-1,-1
2436,ordeno,prenez,13,5/15/2018,2,261,1,0,-1,-1,-1,-1,-1,-1,-1
2446,ordeno,prenez,23,5/30/2018,2,215,0,0,-1,-1,-1,-1,-1,-1,-1
2448,ordeno,prenez,13,2/3/2015,5,449,0,0,0,1,0,-1,-1,-1,-1
2451,ordeno,prenez,26,6/7/2018,2,298,0,0,-1,-1,-1,-1,-1,-1,-1
2453,ordeno,prenez,22,2/5/2015,6,173,0,0,0,1,0,0,-1,-1,-1
2455,ordeno,prenez,27,6/8/2018,2,315,0,0,-1,-1,-1,-1,-1,-1,-1
2459,ordeno,prenez,28,2/7/2015,5,310,0,0,2,0,1,-1,-1,-1,-1
2462,ordeno,prenez,25,2/8/2015,6,229,0,0,0,0,0,0,-1,-1,-1
2472,ordeno,prenez,13,7/6/2018,2,234,0,0,-1,-1,-1,-1,-1,-1,-1
2474,ordeno,prenez,23,7/8/2018,2,216,0,0,-1,-1,-1,-1,-1,-1,-1
2491,ordeno,prenez,17,7/20/2018,2,143,0,0,-1,-1,-1,-1,-1,-1,-1
2493,seca,prenez,86,7/21/2018,2,292,0,0,-1,-1,-1,-1,-1,-1,-1
2499,ordeno,prenez,29,7/28/2018,2,221,0,0,-1,-1,-1,-1,-1,-1,-1
2510,ordeno,prenez,24,8/5/2018,2,244,0,0,-1,-1,-1,-1,-1,-1,-1
2511,ordeno,inseminacion,19,2/18/2015,6,80,0,0,0,1,0,0,-1,-1,-1
2513,ordeno,prenez,28,8/8/2018,2,187,0,0,-1,-1,-1,-1,-1,-1,-1
2514,ordeno,prenez,13,8/10/2018,2,359,0,0,-1,-1,-1,-1,-1,-1,-1
2516,ordeno,aborto,24,8/13/2018,2,242,1,0,-1,-1,-1,-1,-1,-1,-1
2520,ordeno,prenez,25,8/14/2018,2,226,0,1,-1,-1,-1,-1,-1,-1,-1
2523,ordeno,prenez,26,8/15/2018,2,283,0,0,-1,-1,-1,-1,-1,-1,-1
2533,ordeno,parto,20,8/18/2018,2,32,0,0,-1,-1,-1,-1,-1,-1,-1
2538,ordeno,prenez,17,2/25/2015,5,154,0,0,0,0,0,-1,-1,-1,-1
2541,ordeno,prenez,26,8/23/2018,2,288,0,1,-1,-1,-1,-1,-1,-1,-1
2545,ordeno,prenez,28,8/27/2018,2,239,0,0,-1,-1,-1,-1,-1,-1,-1
2547,ordeno,prenez,13,8/28/2018,2,328,0,0,-1,-1,-1,-1,-1,-1,-1
2550,ordeno,prenez,27,8/29/2018,2,308,1,1,-1,-1,-1,-1,-1,-1,-1
2554,ordeno,parto,20,3/2/2015,6,27,0,1,1,0,0,0,-1,-1,-1
2560,ordeno,prenez,25,3/3/2015,6,224,0,0,2,0,0,2,-1,-1,-1
2568,ordeno,prenez,18,3/7/2015,6,115,0,0,0,0,0,0,-1,-1,-1
2570,ordeno,prenez,15,9/9/2018,2,179,0,0,-1,-1,-1,-1,-1,-1,-1
2575,ordeno,prenez,13,9/12/2018,2,252,1,0,-1,-1,-1,-1,-1,-1,-1
2576,ordeno,prenez,23,9/13/2018,2,213,0,0,-1,-1,-1,-1,-1,-1,-1
2584,ordeno,inseminacion,18,9/16/2018,2,110,0,0,-1,-1,-1,-1,-1,-1,-1
2597,ordeno,prenez,26,10/4/2018,2,283,0,0,-1,-1,-1,-1,-1,-1,-1
2602,ordeno,prenez,15,3/17/2015,6,156,0,2,1,3,0,0,-1,-1,-1
2603,seca,prenez,85,10/10/2018,2,263,0,1,-1,-1,-1,-1,-1,-1,-1
2604,ordeno,pd-inseminacion,22,3/17/2015,6,138,0,0,0,0,0,0,-1,-1,-1
2605,ordeno,prenez,29,3/18/2015,5,304,0,0,0,1,1,-1,-1,-1,-1
2607,ordeno,inseminacion,26,10/11/2018,2,293,0,0,-1,-1,-1,-1,-1,-1,-1
2613,ordeno,prenez,26,10/27/2018,2,295,1,0,-1,-1,-1,-1,-1,-1,-1
2618,ordeno,inseminacion,18,3/21/2015,6,114,0,0,0,1,0,0,-1,-1,-1
2623,ordeno,prenez,14,10/24/2018,2,203,0,0,-1,-1,-1,-1,-1,-1,-1
2626,ordeno,prenez,13,10/25/2018,2,278,0,1,-1,-1,-1,-1,-1,-1,-1
2627,ordeno,parto,19,10/25/2018,2,70,0,0,-1,-1,-1,-1,-1,-1,-1
2630,ordeno,aborto,17,10/26/2018,2,131,0,0,-1,-1,-1,-1,-1,-1,-1
2631,ordeno,prenez,25,10/26/2018,2,229,0,0,-1,-1,-1,-1,-1,-1,-1
2634,ordeno,prenez,14,10/27/2018,2,192,0,0,-1,-1,-1,-1,-1,-1,-1
2635,ordeno,prenez,14,10/30/2018,2,199,0,0,-1,-1,-1,-1,-1,-1,-1
2638,ordeno,prenez,14,11/5/2018,2,187,0,1,-1,-1,-1,-1,-1,-1,-1
2640,ordeno,prenez,25,11/6/2018,2,227,1,0,-1,-1,-1,-1,-1,-1,-1
2642,ordeno,prenez,13,3/26/2015,5,285,0,1,1,2,0,-1,-1,-1,-1
2643,ordeno,inseminacion,28,11/7/2018,2,158,0,0,-1,-1,-1,-1,-1,-1,-1
2644,ordeno,prenez,14,11/8/2018,2,199,0,1,-1,-1,-1,-1,-1,-1,-1
2647,ordeno,prenez,23,11/9/2018,2,219,0,0,-1,-1,-1,-1,-1,-1,-1
2651,seca,prenez,85,3/30/2015,5,394,0,0,0,1,2,-1,-1,-1,-1
2652,ordeno,prenez,15,11/10/2018,2,181,0,0,-1,-1,-1,-1,-1,-1,-1
2654,ordeno,prenez,14,11/12/2018,2,198,1,0,-1,-1,-1,-1,-1,-1,-1
2655,ordeno,prenez,29,11/12/2018,2,224,0,0,-1,-1,-1,-1,-1,-1,-1
2656,ordeno,prenez,17,11/13/2018,2,151,0,0,-1,-1,-1,-1,-1,-1,-1
2657,ordeno,prenez,13,3/31/2015,6,243,0,0,0,0,0,0,-1,-1,-1
2659,ordeno,para_no_inseminar,30,11/15/2018,1,493,0,-1,-1,-1,-1,-1,-1,-1,-1
2662,ordeno,prenez,23,11/17/2018,2,212,0,0,-1,-1,-1,-1,-1,-1,-1
2663,ordeno,prenez,14,11/17/2018,2,186,0,0,-1,-1,-1,-1,-1,-1,-1
2664,ordeno,prenez,26,11/17/2018,2,277,0,0,-1,-1,-1,-1,-1,-1,-1
2669,ordeno,prenez,14,11/21/2018,2,194,0,1,-1,-1,-1,-1,-1,-1,-1
2673,ordeno,prenez,24,4/6/2015,5,239,0,0,0,2,0,-1,-1,-1,-1
2674,ordeno,parto,20,11/25/2018,2,23,1,0,-1,-1,-1,-1,-1,-1,-1
2675,ordeno,prenez,13,11/26/2018,2,225,0,0,-1,-1,-1,-1,-1,-1,-1
2676,ordeno,prenez,17,11/27/2018,2,141,0,0,-1,-1,-1,-1,-1,-1,-1
2678,ordeno,celo,14,4/8/2015,6,189,0,0,0,1,0,1,-1,-1,-1
2689,ordeno,prenez,13,12/7/2018,2,246,0,0,-1,-1,-1,-1,-1,-1,-1
2690,ordeno,prenez,17,12/8/2018,2,130,0,0,-1,-1,-1,-1,-1,-1,-1
2693,ordeno,prenez,30,12/14/2018,1,405,0,-1,-1,-1,-1,-1,-1,-1,-1
2694,ordeno,prenez,24,12/16/2018,2,246,0,0,-1,-1,-1,-1,-1,-1,-1
2696,ordeno,parto,21,12/17/2018,2,7,1,0,-1,-1,-1,-1,-1,-1,-1
2697,ordeno,prenez,28,12/20/2018,2,226,0,2,-1,-1,-1,-1,-1,-1,-1
2702,ordeno,prenez,14,12/24/2018,2,196,0,0,-1,-1,-1,-1,-1,-1,-1
2705,ordeno,prenez,30,12/26/2018,1,365,0,-1,-1,-1,-1,-1,-1,-1,-1
2708,ordeno,parto,20,12/27/2018,2,23,0,0,-1,-1,-1,-1,-1,-1,-1
2709,ordeno,prenez,18,12/29/2018,2,118,0,0,-1,-1,-1,-1,-1,-1,-1
2713,ordeno,parto,3,1/1/2019,2,4,0,1,-1,-1,-1,-1,-1,-1,-1
2715,ordeno,aborto,29,4/19/2015,5,317,0,0,0,1,1,-1,-1,-1,-1
2719,ordeno,prenez,15,1/13/2019,2,175,0,0,-1,-1,-1,-1,-1,-1,-1
2724,seca,prenez,85,4/22/2015,5,289,1,0,0,4,2,-1,-1,-1,-1
2726,ordeno,prenez,14,1/18/2019,2,192,0,0,-1,-1,-1,-1,-1,-1,-1
2729,ordeno,inseminacion,18,4/24/2015,5,123,0,1,0,0,0,-1,-1,-1,-1
2731,ordeno,prenez,17,1/22/2019,2,150,0,0,-1,-1,-1,-1,-1,-1,-1
2733,ordeno,prenez,15,1/27/2019,2,182,0,0,-1,-1,-1,-1,-1,-1,-1
2738,ordeno,prenez,17,2/6/2019,2,130,0,0,-1,-1,-1,-1,-1,-1,-1
2743,ordeno,inseminacion,18,2/12/2019,2,112,0,0,-1,-1,-1,-1,-1,-1,-1
2746,ordeno,inseminacion,17,2/20/2019,2,133,0,0,-1,-1,-1,-1,-1,-1,-1
2750,ordeno,parto,20,2/22/2019,2,55,0,0,-1,-1,-1,-1,-1,-1,-1
2753,seca,prenez,84,2/26/2019,1,347,2,-1,-1,-1,-1,-1,-1,-1,-1
2760,ordeno,inseminacion,12,3/5/2019,1,321,0,-1,-1,-1,-1,-1,-1,-1,-1
2762,ordeno,inseminacion,18,3/6/2019,2,121,0,0,-1,-1,-1,-1,-1,-1,-1
2765,ordeno,prenez,13,5/4/2015,5,314,0,0,0,0,0,-1,-1,-1,-1
2767,ordeno,celo,20,3/12/2019,2,47,0,0,-1,-1,-1,-1,-1,-1,-1
2770,ordeno,prenez,14,5/6/2015,5,200,0,1,2,0,1,-1,-1,-1,-1
2777,ordeno,prenez,29,5/9/2015,5,336,0,0,0,0,0,-1,-1,-1,-1
2793,seca,prenez,1,5/28/2019,1,320,0,-1,-1,-1,-1,-1,-1,-1,-1
2794,seca,prenez,84,6/12/2019,1,329,0,-1,-1,-1,-1,-1,-1,-1,-1
2795,seca,prenez,86,6/12/2019,1,329,1,-1,-1,-1,-1,-1,-1,-1,-1
2799,ordeno,parto,21,6/28/2019,2,8,0,0,-1,-1,-1,-1,-1,-1,-1
2801,ordeno,prenez,11,7/1/2019,1,191,0,-1,-1,-1,-1,-1,-1,-1,-1
2805,ordeno,parto,21,7/10/2019,2,6,0,0,-1,-1,-1,-1,-1,-1,-1
2808,ordeno,parto,21,7/12/2019,2,7,0,0,-1,-1,-1,-1,-1,-1,-1
2809,ordeno,inseminacion,20,5/21/2015,5,128,0,0,0,0,1,-1,-1,-1,-1
2811,ordeno,prenez,16,7/19/2019,1,282,0,-1,-1,-1,-1,-1,-1,-1,-1
2812,seca,prenez,85,7/20/2019,1,296,0,-1,-1,-1,-1,-1,-1,-1,-1
2813,ordeno,prenez,11,7/20/2019,1,184,0,-1,-1,-1,-1,-1,-1,-1,-1
2816,seca,prenez,1,7/29/2019,1,273,0,-1,-1,-1,-1,-1,-1,-1,-1
2821,seca,prenez,1,7/31/2019,1,294,0,-1,-1,-1,-1,-1,-1,-1,-1
2823,ordeno,prenez,12,8/3/2019,1,247,0,-1,-1,-1,-1,-1,-1,-1,-1
2824,ordeno,celo,20,8/3/2019,2,57,0,0,-1,-1,-1,-1,-1,-1,-1
2829,ordeno,para_no_inseminar,28,5/25/2015,4,391,0,0,0,1,-1,-1,-1,-1,-1
2835,seca,prenez,1,8/13/2019,1,294,0,-1,-1,-1,-1,-1,-1,-1,-1
2837,seca,prenez,85,8/19/2019,1,307,0,-1,-1,-1,-1,-1,-1,-1,-1
2840,ordeno,prenez,16,8/24/2019,1,251,0,-1,-1,-1,-1,-1,-1,-1,-1
2850,ordeno,prenez,16,8/30/2019,1,311,1,-1,-1,-1,-1,-1,-1,-1,-1
2853,seca,prenez,1,9/3/2019,1,272,0,-1,-1,-1,-1,-1,-1,-1,-1
2854,ordeno,celo,20,9/4/2019,2,29,0,0,-1,-1,-1,-1,-1,-1,-1
2855,ordeno,prenez,12,9/4/2019,1,251,1,-1,-1,-1,-1,-1,-1,-1,-1
2858,seca,prenez,85,9/8/2019,1,326,1,-1,-1,-1,-1,-1,-1,-1,-1
2860,ordeno,prenez,19,6/1/2015,5,98,0,0,0,0,0,-1,-1,-1,-1
2861,ordeno,celo,7,9/14/2019,1,76,0,-1,-1,-1,-1,-1,-1,-1,-1
2863,ordeno,prenez,16,9/16/2019,1,293,0,-1,-1,-1,-1,-1,-1,-1,-1
2865,ordeno,prenez,16,9/20/2019,1,264,0,-1,-1,-1,-1,-1,-1,-1,-1
2867,ordeno,prenez,11,9/21/2019,1,203,0,-1,-1,-1,-1,-1,-1,-1,-1
2869,ordeno,prenez,10,9/22/2019,1,140,0,-1,-1,-1,-1,-1,-1,-1,-1
2872,ordeno,prenez,11,9/25/2019,1,184,0,-1,-1,-1,-1,-1,-1,-1,-1
2873,ordeno,prenez,12,9/26/2019,1,225,0,-1,-1,-1,-1,-1,-1,-1,-1
2874,ordeno,prenez,11,9/28/2019,1,177,0,-1,-1,-1,-1,-1,-1,-1,-1
2875,ordeno,prenez,12,9/28/2019,1,255,0,-1,-1,-1,-1,-1,-1,-1,-1
2876,ordeno,prenez,16,9/29/2019,1,264,0,-1,-1,-1,-1,-1,-1,-1,-1
2877,seca,prenez,84,9/29/2019,1,323,0,-1,-1,-1,-1,-1,-1,-1,-1
2881,ordeno,prenez,16,9/30/2019,1,322,0,-1,-1,-1,-1,-1,-1,-1,-1
2882,ordeno,prenez,12,10/1/2019,1,314,0,-1,-1,-1,-1,-1,-1,-1,-1
2883,ordeno,prenez,11,10/2/2019,1,187,0,-1,-1,-1,-1,-1,-1,-1,-1
2887,ordeno,inseminacion,7,10/5/2019,1,78,0,-1,-1,-1,-1,-1,-1,-1,-1
2888,ordeno,prenez,16,10/6/2019,1,261,0,-1,-1,-1,-1,-1,-1,-1,-1
2892,ordeno,prenez,12,10/7/2019,1,263,1,-1,-1,-1,-1,-1,-1,-1,-1
2896,ordeno,prenez,11,10/9/2019,1,181,0,-1,-1,-1,-1,-1,-1,-1,-1
2899,ordeno,prenez,10,10/14/2019,1,127,0,-1,-1,-1,-1,-1,-1,-1,-1
2900,ordeno,prenez,10,10/15/2019,1,157,0,-1,-1,-1,-1,-1,-1,-1,-1
2902,ordeno,prenez,11,10/17/2019,1,218,0,-1,-1,-1,-1,-1,-1,-1,-1
2903,ordeno,prenez,11,10/21/2019,1,198,0,-1,-1,-1,-1,-1,-1,-1,-1
2907,ordeno,parto,20,6/12/2015,6,22,0,0,0,0,1,0,-1,-1,-1
2908,ordeno,inseminacion,5,10/23/2019,1,47,0,-1,-1,-1,-1,-1,-1,-1,-1
2913,ordeno,prenez,11,10/25/2019,1,212,0,-1,-1,-1,-1,-1,-1,-1,-1
2915,ordeno,prenez,10,10/26/2019,1,152,0,-1,-1,-1,-1,-1,-1,-1,-1
2918,ordeno,inseminacion,7,10/30/2019,1,82,0,-1,-1,-1,-1,-1,-1,-1,-1
2920,ordeno,pd-inseminacion,11,11/1/2019,1,171,0,-1,-1,-1,-1,-1,-1,-1,-1
2921,ordeno,prenez,12,11/1/2019,1,243,0,-1,-1,-1,-1,-1,-1,-1,-1
2923,ordeno,prenez,16,10/31/2019,1,237,0,-1,-1,-1,-1,-1,-1,-1,-1
2930,ordeno,prenez,10,11/1/2019,1,132,0,-1,-1,-1,-1,-1,-1,-1,-1
2931,ordeno,prenez,9,11/11/2019,1,121,0,-1,-1,-1,-1,-1,-1,-1,-1
2932,ordeno,inseminacion,10,11/15/2019,1,159,0,-1,-1,-1,-1,-1,-1,-1,-1
2944,ordeno,prenez,3,6/19/2015,4,256,0,0,0,0,-1,-1,-1,-1,-1
2949,ordeno,prenez,13,6/20/2015,5,242,0,0,0,0,0,-1,-1,-1,-1
2963,ordeno,inseminacion,20,6/23/2015,5,81,0,1,3,2,3,-1,-1,-1,-1
2966,ordeno,prenez,13,6/25/2015,5,262,1,0,0,2,2,-1,-1,-1,-1
