,id,lactation_1,lactation_2,lactation_3,total_production_1,total_production_2,total_production_3,milk_days_1,milk_days_2,milk_days_3,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,abortos_Lac_1,abortos_lac_2,abortos_lac_3,production_ok
48,1474,1,1,1,8659,10955,11373,294,305,286,0,0,0,2,2,1,0,0,0,1
49,1484,1,1,1,0,14057,10368,303,458,299,0,0,0,1,8,1,0,0,0,1
50,1504,1,1,1,0,11107,11755,564,344,316,0,0,0,0,3,3,0,0,0,1
51,1507,1,1,1,0,10308,9616,562,292,274,0,0,0,0,1,1,0,0,0,0
52,1509,1,1,1,17228,13121,12724,581,337,315,0,0,0,10,4,2,1,0,0,1
53,1527,1,1,1,15130,14741,15881,452,350,387,0,0,0,5,4,3,0,0,0,1
54,1531,1,1,1,12816,15074,9789,442,490,265,0,1,1,7,8,1,1,1,0,0
55,1581,1,1,1,0,11081,10793,303,369,314,0,0,0,1,5,4,0,0,0,1
56,1596,1,1,1,11078,11716,11720,386,277,287,2,0,0,5,1,1,0,0,0,1
57,1619,1,1,1,0,8008,9862,462,297,400,0,0,0,0,1,5,0,0,0,0
58,1642,1,1,1,11340,13257,14176,316,335,346,0,0,0,2,3,3,0,0,0,1
59,1643,1,1,1,0,12473,10684,303,455,315,0,0,1,1,6,2,0,0,0,1
60,1648,1,1,1,9734,12302,12213,435,411,411,1,0,1,6,6,6,0,0,0,1
61,1667,1,1,1,0,8544,11023,356,308,345,0,0,0,0,1,2,0,0,0,1
62,1682,1,1,1,0,12041,14282,303,342,380,0,0,0,1,3,4,0,0,1,1
63,1704,1,1,1,8668,10128,12248,269,290,347,0,0,0,1,1,3,0,0,0,1
64,1727,1,1,1,9630,11005,12363,305,312,286,0,0,1,2,2,2,0,0,0,1
65,1791,1,1,1,8243,10971,12864,274,312,353,1,0,0,1,3,3,0,0,0,1
66,1853,1,1,1,10267,12616,11521,324,312,283,0,0,0,3,2,1,0,0,0,1
67,1892,1,1,1,13109,10482,9651,518,276,266,1,0,0,8,1,1,0,0,0,0
68,1915,1,1,1,8061,10411,10828,287,270,286,0,0,0,1,1,1,0,0,0,1
